"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","genome_size","genome_size_draft","c_value","chromosome_number","haploid_number","assembly_level","assembly_span","assembly_date","contig_n50","scaffold_n50","chromosome_count","busco_completeness","gene_count","sequencing_status","published","TOGA_species","common_name","ploidy","refseq","ensembl","genome_match","ref_genome","divergence_mya_adj","taxon_id_ref","precomputed_age","adjusted_age","toga_assembly_name_ref","TOGA_ref","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","silencer","illumina","tetrapod","selected","project","TOGA","annotation_level","fibro2","to_process","order2"
"Falco naumanni","Falco naumanni",NA,NA,"II","LEAST CONCERN",2,"F/F","Birds","Fibro",NA,"X",NA,NA,NA,NA,"Tissue/Trachea",NA,"Falco_naumanni","148594","Cerchneis naumanni","bFalNau","GCA_017639655.1",NA,"GCA_017639655.1","GCF_017639655.2","Falco","Falconidae","Falconiformes","Aves","Chordata","Metazoa","Eukaryota",1403430000,NA,1.4345703125,52,26,"Chromosome",1215702009,"2021-03-30",13754753,91761059,27,97.10000000000001,NA,"insdc_open",NA,"toga1/2","Lesser Kestrel,list(""common_name"")",2,TRUE,FALSE,"species","Falco naumanni",1e-4,NA,NA,NA,"HLfalNau1","toga1/2",FALSE,TRUE,TRUE,2,0,1,0,0,TRUE,1,"Both",1,FALSE,FALSE,TRUE,TRUE,"tetrapod",TRUE,"TOGA/refseq",1,1,"Other"
"Ramphastos toco","Ramphastos toco",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,"x",NA,NA,"Tissue",NA,"Ramphastos_toco","95723",NA,"bRamToc","GCA_040967075.1",NA,"GCA_040967075.1",NA,"Ramphastos","Ramphastidae","Piciformes","Aves","Chordata","Metazoa","Eukaryota",1760400000,NA,1.7998046875,106,57,"Scaffold",1283093693,"2024-07-30",10117,32078995,NA,NA,NA,"insdc_open",NA,"toga2","Toco toucan,list(""common_name"")",1.8596491228070176,FALSE,FALSE,"species","Ramphastos toco",1e-4,NA,NA,NA,"HLramToco1","toga2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Other"
"Spheniscus demersus","Spheniscus demersus",NA,NA,"II","ENDANGERED",3,"M/F/F","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Spheniscus_demersus","92683","Diomedea demersa","bSphDem","GCA_050947425.1",NA,"GCA_050947425.1",NA,"Spheniscus","Spheniscidae","Sphenisciformes","Aves","Chordata","Metazoa","Eukaryota",1594140000,NA,1.6298828125,74,36,"Chromosome",1307516078,"2025-06-17",18147389,88319617,35,96,15881,"insdc_open",NA,"toga1/2","Jackass penguin,list(""common_name"")",2.0555555555555554,FALSE,FALSE,"species","Spheniscus demersus",1e-4,NA,NA,NA,"HLsphDeme2A","toga1/2",FALSE,TRUE,TRUE,4,2,2,0,0,TRUE,2,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",2,2,"Other"
"Spheniscus humboldti","Spheniscus humboldti",NA,NA,"I","VULNERABLE",6,"M/U/M/F/M/F","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Spheniscus_humboldti","9240",NA,"bSphHub","GCA_027474245.1",NA,"GCA_027474245.1",NA,"Spheniscus","Spheniscidae","Sphenisciformes","Aves","Chordata","Metazoa","Eukaryota",1594140000,NA,1.6298828125,78,39,"Chromosome",1358357718,"2022-12-28",13936613,89079306,37,97.5,17909,"insdc_open",NA,"toga1/2","Humboldt penguin,list(""common_name"")",2,FALSE,FALSE,"species","Spheniscus humboldti",1e-4,NA,NA,NA,"HLsphHumb2","toga1/2",FALSE,TRUE,TRUE,7,3,3,0,0,TRUE,2,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",3,2,"Other"
"Casuarius casuarius","Casuarius casuarius",NA,NA,NA,"LEAST CONCERN",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea/Skin",NA,"Casuarius_casuarius","8787","Struthio casuarius; Casuarius casurius","bCasCas","GCA_003342895.1",NA,"GCA_003342895.1",NA,"Casuarius","Casuariidae","Casuariiformes","Aves","Chordata","Metazoa","Eukaryota",1555020000,NA,1.58984375,92,46,"Scaffold",1209001349,"2018-07-26",165721,3704890,NA,NA,15110,"insdc_open",NA,"toga1/2","Southern cassowary,list(""common_name"")",2,FALSE,FALSE,"species","Casuarius casuarius",1e-4,NA,NA,NA,"HLcasCas2","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,1,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",1,1,"Other"
"Rhea americana","Rhea americana",NA,NA,"II","NEAR THREATENED",2,"F/F","Birds","Fibro",NA,"X","X","X",NA,NA,"Trachea/Skin",NA,"Rhea_americana","8797","Struthio americanus","bRheAme","GCA_003343005.1",NA,"GCA_003343005.1",NA,"Rhea","Rheidae","Rheiformes","Aves","Chordata","Metazoa","Eukaryota",1555020000,NA,1.58984375,80,40,"Scaffold",1160836514,"2018-07-26",88762,3949999,NA,96.9,NA,"insdc_open",NA,"toga1/2",NA,2,TRUE,FALSE,"species","Rhea americana",1e-4,NA,NA,NA,"HLrheAme1","toga1/2",FALSE,TRUE,TRUE,2,2,2,0,0,TRUE,1,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA/refseq",2,2,"Other"
"Jacana jacana","Jacana jacana",NA,NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Jacana_jacana","54508","Parra jacana","bJacJac","GCA_013400555.1",NA,"GCA_013400555.1",NA,"Jacana","Jacanidae","Charadriiformes","Aves","Chordata","Metazoa","Eukaryota",1418100000,NA,1.5048828125,82,41,"Scaffold",1085086281,"2020-07-10",31221,126631,NA,NA,14651,"insdc_open",NA,"toga1/2","Wattled jacana,list(""common_name"")",2,FALSE,FALSE,"species","Jacana jacana",1e-4,NA,NA,NA,"HLjacJac1","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Other"
"Larus michahellis","Larus michahellis",NA,NA,NA,"LEAST CONCERN",1,"M","Birds","Fibro",NA,NA,NA,NA,NA,NA,NA,NA,"Larus_michahellis","119627","Larus argentatus michahellis; Larus argentatus michaelis; Larus cachinnans michahellis; Larus michaellis","bLarMic","GCA_964199755.1",NA,"GCA_964199755.1","GCF_964199755.1","Larus","Laridae","Charadriiformes","Aves","Chordata","Metazoa","Eukaryota",1432770000,NA,1.46484375,68,34,"Chromosome",1405564706,"2025-07-31",4216312,87713602,35,97.4,NA,"published","DTOL","toga2","Yellow-legged Gull,list(""common_name"")",2,TRUE,FALSE,"species","Larus michahellis",1e-4,NA,NA,NA,"HLlarMich1","toga2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA/refseq",1,1,"Other"
"Phoenicopterus ruber","Phoenicopterus ruber",NA,NA,"II","LEAST CONCERN",5,"M/U/F/F/F","Birds","Fibro",NA,NA,NA,"X",NA,NA,"Trachea",NA,"Phoenicopterus_ruber","9217","Phoenicopterus roseus; Phoenicopterus ruber ruber","bPhoRub",NA,NA,NA,NA,"Phoenicopterus","Phoenicopteridae","Phoenicopteriformes","Aves","Chordata","Metazoa","Eukaryota",1354530000,NA,1.384765625,80,40,"Chromosome",1246226932,"2023-04-03",14700712,85472901,NA,NA,NA,"insdc_open",NA,"toga1/2","American flamingo,list(""common_name"")",2,FALSE,FALSE,"species","Phoenicopterus ruber",1e-4,NA,NA,NA,"HLphoRub1","toga1/2",FALSE,TRUE,TRUE,5,2,2,0,0,TRUE,1,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",2,2,"Other"
"Psophia crepitans","Psophia crepitans",NA,NA,"-","NEAR THREATENED",1,"F","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Psophia_crepitans","54359",NA,"bPsoCre","GCA_013399095.1",NA,"GCA_013399095.1",NA,"Psophia","Psophiidae","Gruiformes","Aves","Chordata","Metazoa","Eukaryota",1405875000,NA,1.4404296875,80,40,"Scaffold",1169253548,"2020-07-10",58160,468890,NA,96.4,15289,"insdc_open",NA,"toga1/2","Grey-winged Trumpeter,list(""common_name"")",2,FALSE,FALSE,"species","Psophia crepitans",1e-4,NA,NA,NA,"HLpsoCre1","toga1/2",FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,1,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Other"
